date, pm25, pm10, o3, no2, so2, co,AQI,index
8/22/2020,25,24,34,3,1,3,34,Good
8/21/2020,35,11,39,6,1,3,39,Good
8/20/2020,18,15,44,6,1,3,44,Good
8/19/2020,23,7,25,4,0,3,25,Good
8/18/2020,20,11,29,6,0,3,29,Good
8/17/2020,14,8,33,3,0,3,33,Good
8/16/2020,13,5,33,4,0,3,33,Good
8/15/2020,18,7,34,4,0,2,34,Good
8/14/2020,13,8,33,6,0,2,33,Good
8/13/2020,19,6,29,2,0,2,29,Good
8/12/2020,17,8,30,6,0,3,30,Good
8/11/2020,25,8,30,5,1,1,30,Good
8/10/2020,38,11,32,1,1,2,38,Good
8/9/2020,23,13,41,4,1,1,41,Good
8/8/2020,50,8,32,4,1,1,50,Good
8/7/2020,37,23,44,12,1,2,44,Good
8/6/2020,22,15,34,8,1,6,34,Good
8/5/2020,39,9,32,6,1,3,39,Good
8/4/2020,39,12,28,5,1,2,39,Good
8/3/2020,14,11,31,5,1,2,31,Good
8/2/2020,14,5,32,3,1,1,32,Good
8/1/2020,19,5,30,6,1,1,30,Good
7/31/2020,32,9,27,7,1,1,32,Good
7/30/2020,19,11,24,7,1,1,24,Good
7/29/2020,9,8,30,2,1,2,30,Good
7/28/2020,74,5,33,1,1,1,74,Moderate
7/27/2020,63,29,51,3,1,5,63,Moderate
7/26/2020,42,22,36,5,1,4,42,Good
7/25/2020,40,15,41,3,1,4,41,Good
7/24/2020,44,16,37,3,1,4,44,Good
7/23/2020,34,20,41,2,1,4,41,Good
7/22/2020,22,16,38,2,1,4,38,Good
7/21/2020,22,12,36,2,0,4,36,Good
7/20/2020,24,10,38,2,0,4,38,Good
7/19/2020,27,10,32,2,0,4,32,Good
7/18/2020,54,12,34,3,1,4,54,Moderate
7/17/2020,45,20,42,5,1,4,45,Good
7/16/2020,43,16,37,7,1,4,43,Good
7/15/2020,28,17,32,6,0,4,32,Good
7/14/2020,42,12,35,1,1,3,42,Good
7/13/2020,55,13,31,4,1,4,55,Moderate
7/12/2020,78,20,38,8,1,4,78,Moderate
7/11/2020,28,31,35,8,1,3,35,Good
7/10/2020,43,10,28,4,1,3,43,Good
7/9/2020,44,19,39,11,1,4,44,Good
7/8/2020,24,19,33,12,1,4,33,Good
7/7/2020,46,10,30,6,1,4,46,Good
7/6/2020,29,18,35,6,1,3,35,Good
7/5/2020,24,10,32,6,1,3,32,Good
7/4/2020,19,9,30,7,1,4,30,Good
7/3/2020,22,9,32,6,1,4,32,Good
7/2/2020,40,11,19,14,1,3,40,Good
7/1/2020,39,17,8,19,1,3,39,Good
6/30/2020,38,13,19,12,1,2,38,Good
6/29/2020,32,13,16,14,1,3,32,Good
6/28/2020,20,14,25,6,1,2,25,Good
6/27/2020,12,10,23,4,1,1,23,Good
6/26/2020,21,6,24,4,1,2,24,Good
6/25/2020,35,7,27,8,1,3,35,Good
6/24/2020,59,13,27,7,1,3,59,Moderate
6/23/2020,49,26,34,11,1,3,49,Good
6/22/2020,18,20,28,11,1,3,28,Good
6/21/2020,19,7,24,2,1,2,24,Good
6/20/2020,28,9,28,1,1,2,28,Good
6/19/2020,36,13,27,5,1,2,36,Good
6/18/2020,49,17,24,5,1,2,49,Good
6/17/2020,59,20,27,3,1,3,59,Moderate
6/16/2020,30,28,34,21,1,5,34,Good
6/15/2020,22,14,23,16,1,4,23,Good
6/14/2020,27,9,22,3,1,3,27,Good
6/13/2020,32,12,24,4,1,2,32,Good
6/12/2020,30,14,20,8,1,2,30,Good
6/11/2020,17,14,20,11,0,2,20,Good
6/10/2020,17,9,23,4,0,2,23,Good
6/9/2020,25,7,12,7,0,3,25,Good
6/8/2020,20,9,15,9,0,2,20,Good
6/7/2020,22,8,20,5,0,2,22,Good
6/6/2020,26,10,21,5,0,2,26,Good
6/5/2020,22,12,25,6,0,2,25,Good
6/4/2020,51,9,21,5,1,3,51,Moderate
6/3/2020,59,23,25,16,1,4,59,Moderate
6/2/2020,31,23,28,16,1,3,31,Good
6/1/2020,18,10,26,11,1,2,26,Good
5/31/2020,14,8,24,6,0,1,24,Good
5/30/2020,14,7,21,3,0,1,21,Good
5/29/2020,36,6,21,4,0,2,36,Good
5/28/2020,15,16,13,15,0,2,16,Good
5/27/2020,13,6,21,8,0,2,21,Good
5/26/2020,15,5,17,7,0,2,17,Good
5/25/2020,15,6,26,5,0,1,26,Good
5/24/2020,14,6,22,4,0,2,22,Good
5/23/2020,18,6,22,4,0,2,22,Good
5/22/2020,27,9,23,5,0,2,27,Good
5/21/2020,31,14,26,7,0,1,31,Good
5/20/2020,24,15,12,10,0,3,24,Good
5/19/2020,25,10,20,11,0,2,25,Good
5/18/2020,29,9,22,9,0,2,29,Good
5/17/2020,24,9,21,3,0,2,24,Good
5/16/2020,21,8,35,3,0,2,35,Good
5/15/2020,38,7,34,5,1,2,38,Good
5/14/2020,72,11,33,4,1,2,72,Moderate
5/13/2020,60,30,54,6,1,2,60,Moderate
5/12/2020,43,25,52,5,1,2,52,Moderate
